candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,w_actual,h_actual,x1,y1,x2,y2
SLD1_00004,SLD1,T_0.372_180,0.372,180,580,103,0.8057309985160828,0.3833865814696485,0.8626198083067093,0.939297124600639,0.987220447284345,0.3208945686900958,1966.7731629392968,0.0447992863514719,60,38,2280,313,13,2,11,1.0,14,2,12,185.5,83.0,2.2349397590361444,541.4629834890366,492.45079159736633,1.0995270851990897,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1236842105263157,0.1372807017543859,0.0135964912280701,0.1236842105263157,0.139607493309545,0.0159232827832292,12,2,10,1,11,0.3833865814696485,0.80573106,0.0078552919914536,0.3833865814696485,0.5038488617438979,1966.7731629392968,0.3208945686900958,787.0115744927652,22.32,14.136,568.84,95.932,591.16,110.068
SLD1_00008,SLD1,T_0.372_270,0.372,270,754,202,0.872058093547821,0.3903225806451613,0.832258064516129,0.9193548387096774,0.9548387096774194,0.3096,1897.548387096774,0.0428082069580731,38,60,2280,310,8,3,5,1.0,10,3,7,47.5,79.0,0.6012658227848101,571.2619735002518,492.45079135894775,1.1600386952853092,0.6333333333333333,0.6440677966101694,0.0107344632768361,2280,2242,1.0169491525423728,0.1245614035087719,0.1359649122807017,0.0114035087719298,0.1245614035087719,0.1382694023193577,0.0137079988105857,6,3,3,2,5,0.3903225806451613,0.87205803,0.0033153701652408,0.3903225806451613,0.5899275800216781,1897.548387096774,0.3096,759.3733113867227,14.136,22.32,746.932,190.84,761.068,213.16
SLD1_00022,SLD1,T_0.400_000,0.4,0,1178,177,1.1616313457489014,0.281524926686217,0.7008797653958945,0.8475073313782991,0.9442815249266864,0.2803519061583578,1839.108504398827,0.0364329268292683,64,41,2624,341,19,6,13,1.0,28,8,20,986.5,555.0,1.7774774774774775,1219.0996276140213,575.6223644018173,2.1178809285509623,1.5609756097560976,1.5609756097560976,0.0,2624,2624,1.0,0.2339939024390244,0.1299542682926829,0.1040396341463414,0.2339939024390244,0.1299542682926829,0.1040396341463414,10,4,6,7,13,0.281524926686217,1.1616313,0.0604781768375113,0.281524926686217,0.4428416243473285,1839.108504398827,0.2803519061583578,735.9091067341393,25.6,16.400000000000002,1165.2,168.8,1190.8,185.2
SLD1_00027,SLD1,T_0.400_180,0.4,180,87,158,1.0892974138259888,0.2870967741935484,0.6967741935483871,0.8483870967741935,0.9516129032258064,0.2787096774193549,1828.335483870968,0.0334494773519163,64,41,2624,310,16,7,9,1.0,21,7,14,423.0,61.5,6.878048780487805,1129.661028265953,521.5218585729599,2.166085677323371,1.4634146341463414,1.5365853658536586,0.0731707317073171,2460,2583,0.9523809523809524,0.2179878048780487,0.118140243902439,0.0998475609756097,0.232520325203252,0.1200154858691444,0.1125048393341076,11,7,4,5,9,0.2870967741935484,1.0892974,0.054017543988188,0.2870967741935484,0.4390244058546576,1828.335483870968,0.2787096774193549,731.5976081918999,25.6,16.400000000000002,74.2,149.8,99.8,166.2
SLD1_00046,SLD1,T_0.372_180,0.372,180,880,120,0.9149168729782104,0.4089456869009584,0.7731629392971247,0.9137380191693292,0.97444089456869,0.2876166134185303,1762.8115015974442,0.0401534344335414,60,38,2280,313,6,2,4,1.0,7,2,5,17.5,83.0,0.2108433734939759,484.6345564126968,492.45079159736633,0.9841278858354234,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1039473684210526,0.1372807017543859,0.0333333333333333,0.1039473684210526,0.139607493309545,0.0356601248884924,5,2,3,1,4,0.4089456869009584,0.914917,0.0125182096390588,0.4089456869009584,0.6336218565311855,1762.8115015974442,0.2876166134185303,705.5047737528964,22.32,14.136,868.84,112.932,891.16,127.068
SLD1_00069,SLD1,T_0.400_270,0.4,270,590,26,1.5164076089859009,0.2869822485207101,0.6449704142011834,0.7869822485207101,0.863905325443787,0.2579881656804734,1692.4023668639052,0.0332317073170731,41,64,2624,338,17,7,10,1.0,25,9,16,668.0,151.5,4.409240924092409,950.2640599012376,570.3502857685089,1.6661060467793405,0.7068965517241379,0.640625,0.0662715517241379,2378,2624,0.90625,0.1901676829268292,0.1288109756097561,0.0613567073170731,0.2098402018502943,0.1288109756097561,0.0810292262405382,9,5,4,6,10,0.2869822485207101,1.5164076,0.0492957554027504,0.2869822485207101,0.4443631774998631,1692.4023668639052,0.2579881656804734,677.227564652062,16.400000000000002,25.6,581.8,13.2,598.2,38.8
SLD1_00094,SLD1,T_0.372_270,0.372,270,886,49,1.2125931978225708,0.332258064516129,0.7322580645161291,0.8290322580645161,0.9064516129032258,0.2724,1669.5483870967744,0.037664585191793,38,60,2280,310,18,3,15,1.0,24,3,21,535.5,79.0,6.778481012658228,840.7665868997574,492.45079135894775,1.7073108656798195,0.6785714285714286,0.6440677966101694,0.0345036319612591,2128,2242,0.9491525423728814,0.194298245614035,0.1359649122807017,0.0583333333333333,0.2081766917293233,0.1382694023193577,0.0699072894099656,12,3,9,6,15,0.332258064516129,1.2125931,0.0429893482956364,0.332258064516129,0.4671285684139271,1669.5483870967744,0.2724,668.0996319797582,14.136,22.32,878.932,37.84,893.068,60.16
SLD1_00098,SLD1,T_0.372_270,0.372,270,686,209,1.1492674350738523,0.332258064516129,0.7290322580645161,0.864516129032258,0.9290322580645162,0.2712,1662.1935483870968,0.0374986619090098,38,60,2280,310,20,3,17,1.0,28,3,25,777.0,79.0,9.835443037974684,934.1219245195388,492.45079135894775,1.896883792067372,0.6666666666666666,0.6440677966101694,0.0225988700564971,2166,2242,0.9661016949152542,0.212719298245614,0.1359649122807017,0.0767543859649122,0.2239150507848568,0.1382694023193577,0.0856456484654991,12,3,9,8,17,0.332258064516129,1.1492674,0.0454859428475133,0.332258064516129,0.462677638457457,1662.1935483870968,0.2712,665.1550259379133,14.136,22.32,678.932,197.84,693.068,220.16
SLD1_00108,SLD1,T_0.372_180,0.372,180,1174,178,1.086024284362793,0.31629392971246,0.7252396166134185,0.8690095846645367,0.9424920127795527,0.2697891373801916,1653.5463258785942,0.037664585191793,60,38,2280,313,23,2,21,1.0,29,2,27,360.5,83.0,4.343373493975903,1071.0752428770063,492.45079159736633,2.174989381990334,1.5263157894736843,1.5526315789473684,0.026315789473684,2204,2242,0.9830508474576272,0.2407894736842105,0.1372807017543859,0.1035087719298245,0.249092558983666,0.139607493309545,0.109485065674121,17,2,15,6,21,0.31629392971246,1.0860243,0.0524259982555886,0.31629392971246,0.4470262534982121,1653.5463258785942,0.2697891373801916,661.6867461035367,22.32,14.136,1162.84,170.932,1185.16,185.068
SLD1_00118,SLD1,T_0.372_000,0.372,0,1179,179,1.1026647090911863,0.3086816720257235,0.7202572347266881,0.8745980707395499,0.945337620578778,0.267935691318328,1642.186495176849,0.0371668153434433,60,38,2280,311,25,7,18,1.0,30,7,23,416.5,80.5,5.173913043478261,1035.4183883666992,474.7523069381714,2.1809654702774206,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.2350877192982456,0.1364035087719298,0.0986842105263157,0.2350877192982456,0.1387154326494201,0.0963722866488254,20,7,13,5,18,0.3086816720257235,1.1026646,0.053780118186716,0.3086816720257235,0.448330044277952,1642.186495176849,0.267935691318328,657.1435960973064,22.32,14.136,1167.84,171.932,1190.16,186.068
